Food name,Mfg Date,Ingredient 1,Ingredient 2,Ingredient 3,Exp date,Preservatives
gulab jamun,19-07-2024,chili powder,poppy seeds,mustard seeds,19-07-2025,2.47
thali,30-06-2024,salt,tamarind,cream,13-03-2025,1.8
kathi roll,14-10-2024,paprika,pistachios,dates,30-03-2025,3.57
palak paneer,05-06-2024,onions,chickpeas,milk,19-05-2025,1.39
palak paneer,03-04-2024,brown sugar,coriander powder,garlic,24-08-2025,4.93
samosa,05-02-2024,oregano,garlic,raisins,06-11-2025,1.41
paneer tikka,26-01-2024,cayenne pepper,cashews,poppy seeds,30-10-2025,1.26
korma,21-07-2024,cinnamon,tomato,poppy seeds,07-01-2025,4.56
momo,14-06-2024,spinach,red chili powder,yogurt,14-11-2025,4.06
gulab jamun,08-08-2024,parsley,garlic,curry leaves,17-05-2025,4.2
pav bhaji,05-09-2024,lime juice,curry leaves,ginger,03-07-2025,3
poha,21-01-2024,mustard,mint leaves,coriander,24-02-2025,2.46
kheer,15-06-2024,mayonnaise,coriander powder,black salt,01-05-2025,2.36
rabri,01-06-2024,butter,onion,fennel seeds,17-10-2025,2.53
pav bhaji,18-09-2024,curry powder,ginger,raisins,25-11-2025,2.2
idli,23-05-2024,rosemary,mint leaves,turmeric,08-02-2025,0.25
biriyani,23-12-2024,paprika,figs,ginger,18-01-2025,3.8
biriyani,04-01-2024,milk,coconut milk,jaggery,01-10-2025,4.45
pulao,20-08-2024,cheese,apricots,curry leaves,28-08-2025,2.7
kheema,21-09-2024,broccoli,basmati rice,mint,19-09-2025,2.42
naan,14-05-2024,ketchup,almonds,bay leaves,04-11-2025,1.36
kheer,15-04-2024,carrots,pineapple,onion,26-03-2025,4.23
pakora,04-11-2024,ginger,cumin seeds,almonds,02-04-2025,4.53
kathi roll,03-10-2024,ginger,almonds,clarified butter,07-09-2025,0.82
paratha,11-12-2024,sugar,raisins,dates,03-11-2024,4.26
korma,24-04-2024,sugar,figs,jaggery,27-11-2024,3.65
chicken curry,08-10-2024,mustard,black pepper,cumin,21-10-2025,0.74
pakora,06-11-2024,vinegar,dates,poppy seeds,01-05-2025,2.19
korma,11-07-2024,pasta,mustard seeds,tamarind,31-01-2025,0.14
korma,04-12-2024,chicken,coconut oil,almonds,13-02-2025,0.03
vada,29-12-2024,spinach,pineapple,semolina,22-05-2025,4.3
dosa,27-06-2024,ketchup,banana,green gram,18-12-2025,0.49
lassi,06-12-2024,brown sugar,pineapple,curry leaves,12-07-2025,4.48
papad,29-05-2024,olive oil,raisins,dates,22-03-2025,0.21
chaat,30-09-2024,ketchup,apricots,gram flour,21-05-2025,2.6
uttapam,01-05-2024,chili powder,onion,garam flour,30-04-2025,0.85
rabri,16-12-2024,cinnamon,cashews,coconut,12-08-2025,1.01
thali,24-09-2024,lettuce,bay leaf,red chili powder,19-06-2025,0.12
idli,18-10-2024,vanilla extract,saffron,cream,24-05-2025,1.27
biryani,01-06-2024,salt,coconut,coconut oil,20-02-2025,2.32
upma,09-02-2024,vanilla extract,black pepper,lentils,25-04-2025,0.46
kachori,16-09-2024,salt,tomato,bay leaves,16-01-2025,4.11
pulao,18-01-2024,broccoli,turmeric powder,yogurt,06-08-2025,1.51
bhaji,22-01-2024,olive oil,chickpeas,green chili,12-05-2025,1.58
jalebi,09-02-2024,brown sugar,coriander powder,mustard oil,17-10-2025,0.74
momo,22-05-2024,paprika,black pepper,saffron,25-11-2025,2.79
upma,13-04-2024,tomatoes,apricots,dates,11-08-2025,2.1
kathi roll,27-06-2024,pepper,jaggery,clarified butter,28-09-2025,3.73
kulfi,28-04-2024,chili powder,paprika,honey,18-03-2025,0.08
roti,24-04-2024,soy sauce,coconut,jaggery,22-06-2025,2.91
lassi,21-09-2024,cayenne pepper,curry leaves,garlic,18-06-2025,2.11
puri,10-03-2024,basil,mint leaves,chickpeas,17-06-2025,2.48
upma,13-01-2024,garlic,chickpeas,cumin,16-03-2025,0.3
pakora,10-12-2024,cayenne pepper,basmati rice,honey,16-02-2025,0.91
chicken curry,04-12-2024,parsley,cashew nuts,rice flour,02-07-2025,1.89
tandoori chicken,04-08-2024,lemon juice,saffron,turmeric,20-04-2025,4.2
kheer,18-05-2024,lime juice,curry powder,black pepper,26-07-2025,2.54
naan,22-07-2024,paprika,green chili,dates,27-03-2025,1.87
thali,22-08-2024,spinach,basmati rice,onion,15-04-2025,0.31
kulfi,09-04-2024,flour,fenugreek seeds,asafoetida,21-06-2025,3.22
kathi roll,27-02-2024,mustard,coconut milk,saffron,04-10-2025,0.28
gulab jamun,08-10-2024,spinach,coconut milk,honey,30-05-2025,3.12
roti,08-02-2024,oregano,fennel seeds,clarified butter,11-09-2025,4.34
rasgulla,14-08-2024,curry powder,pineapple,yogurt,12-07-2025,0.33
thali,22-06-2024,coriander,cloves,mustard oil,12-07-2024,1.15
pav bhaji,15-06-2024,nutmeg,fennel seeds,sesame oil,30-05-2025,3.68
butter chicken,05-10-2024,turmeric,coriander powder,tamarind,28-01-2025,2.3
pav bhaji,23-01-2024,curry powder,cloves,saffron,25-12-2025,2.84
jalebi,07-10-2024,mustard,apricots,cream,02-03-2025,0.44
bhaji,22-06-2024,lemon juice,almonds,ghee,06-03-2025,0.27
biryani,03-09-2024,vinegar,cinnamon,fennel seeds,28-08-2025,0.04
butter chicken,18-12-2024,flour,cardamom,black gram,25-10-2025,2.48
upma,05-06-2024,pepper,asafoetida,asafoetida,30-11-2025,0.57
kheema,02-12-2024,potatoes,basmati rice,fennel seeds,10-10-2025,2.4
momo,05-10-2024,rosemary,raisins,pistachios,29-01-2025,4.84
idli,22-09-2024,basil,figs,cream,29-09-2025,1.33
pav bhaji,27-01-2024,olive oil,coconut,cloves,29-06-2025,3.76
tandoori chicken,27-05-2024,paprika,cardamom,fenugreek,23-07-2025,4.2
butter chicken,16-09-2024,lettuce,garlic,nutmeg,27-08-2025,2.32
palak paneer,11-12-2024,oregano,pistachios,tomato,30-12-2025,3.59
kachori,06-02-2024,cheese,turmeric powder,fennel seeds,03-09-2025,2.29
bhaji,09-06-2024,nutmeg,banana,almonds,02-08-2025,3.63
rabri,01-03-2024,garlic,banana,cloves,09-03-2025,4.37
biriyani,26-04-2024,cheese,lentils,dates,22-12-2025,4.41
chicken curry,22-11-2024,milk,lentils,asafoetida,02-08-2025,1.14
rabri,17-02-2024,butter,garlic,black gram,13-12-2025,2.76
thali,06-03-2024,oregano,coriander powder,green gram,01-11-2025,2.61
pakora,05-04-2024,broccoli,banana,cumin,09-09-2025,3.72
biriyani,03-12-2024,rosemary,onion,green chili,09-02-2025,3.02
dal makhani,03-03-2024,cheese,coconut,cardamom,03-02-2025,4.97
naan,28-09-2024,curry powder,coriander powder,onion,23-10-2025,1.59
rabri,14-01-2024,coriander,coriander powder,amchur,26-07-2025,4.52
kheer,26-03-2024,vanilla extract,coconut,black salt,07-10-2025,0.12
dosa,26-11-2024,tomatoes,ginger,green gram,17-04-2025,2.04
kulfi,22-06-2024,ginger,black pepper,rice flour,05-01-2025,4.61
pulao,02-11-2024,olive oil,banana,fenugreek,02-07-2025,2.25
butter chicken,04-09-2024,potatoes,lentils,clarified butter,08-05-2025,3.67
idli,13-09-2024,vinegar,cloves,poppy seeds,20-03-2025,0.32
roti,27-05-2024,soy sauce,bay leaf,ginger,02-09-2025,3.96
rabri,06-07-2024,cayenne pepper,tomato,saffron,25-06-2025,0.23
paneer tikka,15-09-2024,vanilla extract,bay leaf,nutmeg,11-11-2025,0.56
biryani,20-03-2024,cumin,pistachios,cream,16-02-2025,1.41
palak paneer,13-07-2024,parsley,sesame seeds,poppy seeds,13-09-2025,2.8
puri,23-12-2024,pasta,coconut milk,green gram,18-04-2025,3.78
chicken curry,11-05-2024,rice,saffron,paneer,05-02-2025,4.68
puri,08-11-2024,ginger,coconut oil,sugar,02-09-2025,4.24
uttapam,11-09-2024,butter,pistachios,olive oil,18-08-2025,2.58
pulao,23-05-2024,mayonnaise,saffron,poppy seeds,12-04-2025,2.81
chicken curry,12-11-2024,pasta,chickpeas,cloves,31-08-2025,3.24
paneer tikka,13-04-2024,tomatoes,mustard seeds,almonds,15-04-2025,1.92
kachori,13-02-2024,vinegar,apricots,cream,27-12-2025,3.52
momo,09-01-2024,onions,sesame seeds,green chili,09-09-2025,3.11
kulfi,13-07-2024,maple syrup,onion,amchur,25-10-2025,1.44
chicken curry,12-11-2024,rosemary,mango,gram flour,05-09-2025,0.47
palak paneer,24-01-2024,brown sugar,almonds,turmeric,31-01-2025,2.17
momo,23-07-2024,milk,banana,yogurt,19-07-2025,0.79
vada,31-08-2024,oregano,apricots,yogurt,08-04-2025,1.57
kheer,02-05-2024,carrots,lentils,poppy seeds,05-07-2025,1.19
jalebi,24-02-2024,coriander,cilantro,cream,26-06-2025,1
uttapam,10-12-2024,potatoes,basmati rice,clarified butter,13-05-2025,4.91
dal makhani,07-07-2024,garlic,asafoetida,saffron,20-07-2025,4.72
upma,19-01-2024,mustard,almonds,tomato,14-05-2025,0.5
kheema,11-08-2024,vanilla extract,guava,chickpeas,19-08-2025,2.44
upma,05-07-2024,nutmeg,cinnamon,mustard seeds,29-06-2025,3.52
puri,29-09-2024,butter,cilantro,ginger,25-04-2025,2.71
biriyani,17-02-2024,brown sugar,poppy seeds,garam masala,18-01-2025,1.83
upma,04-10-2024,garlic,fennel seeds,raisins,06-02-2025,4.21
chicken curry,13-07-2024,pasta,cilantro,amchur,03-08-2025,3.61
puri,22-07-2024,oregano,cashew nuts,mustard oil,29-09-2025,2.09
jalebi,06-07-2024,cheese,cumin seeds,almonds,18-08-2025,3.13
pulao,27-03-2024,mayonnaise,sesame seeds,mustard oil,02-04-2025,0.68
dosa,29-12-2024,oregano,cardamom,fennel seeds,04-12-2025,0.19
bhaji,07-02-2024,olive oil,jaggery,curry leaves,08-04-2025,3.27
butter chicken,13-05-2024,cumin,fennel seeds,raisins,26-11-2025,1.83
roti,13-11-2024,ginger,asafoetida,chickpeas,20-08-2025,1.36
bhaji,01-07-2024,potatoes,turmeric powder,nutmeg,26-11-2025,3.96
paneer tikka,24-02-2024,butter,raisins,ginger,20-07-2025,0.19
masala dosa,05-06-2024,curry powder,tamarind,black gram,21-08-2025,1.56
momo,08-04-2024,broccoli,cashew nuts,ginger,22-11-2025,2.49
gulab jamun,02-01-2024,thyme,jaggery,lentils,14-07-2025,2.43
roti,27-05-2024,brown sugar,ghee,fennel seeds,15-08-2025,1.43
upma,15-07-2024,sugar,apricots,beans,18-02-2025,2.47
biryani,31-03-2024,tomatoes,raisins,sesame oil,10-10-2025,0.44
chaat,17-05-2024,lettuce,onion,almonds,23-04-2025,2
korma,21-04-2024,eggs,dates,pistachios,08-02-2025,3.52
kachori,08-04-2024,salt,paprika,garlic,10-04-2025,2.19
rasgulla,05-06-2024,spinach,poppy seeds,jaggery,18-06-2025,2.16
gulab jamun,10-06-2024,beef,raisins,garlic,20-05-2025,4.45
paneer tikka,18-02-2024,onions,cumin seeds,dates,09-12-2024,1.01
thali,15-11-2024,garlic,cardamom,yogurt,29-08-2025,4.34
korma,15-04-2024,vinegar,cardamom,mustard seeds,26-02-2025,3.8
vada,01-03-2024,honey,bay leaf,mustard oil,31-05-2025,4.28
butter chicken,04-04-2024,nutmeg,onion,cream,08-02-2025,2.59
chicken curry,01-05-2024,soy sauce,raisins,coconut oil,09-04-2025,3.34
samosa,09-07-2024,cheese,ghee,cilantro,24-02-2025,1.01
momo,28-10-2024,carrots,ginger,bay leaves,14-02-2025,3.33
pav bhaji,29-05-2024,eggs,basmati rice,cloves,17-01-2025,2.31
biriyani,11-05-2024,cinnamon,curry powder,beans,01-12-2025,4.02
kheema,27-07-2024,honey,curry powder,tomato,26-11-2024,4.58
pav bhaji,16-05-2024,tomatoes,curry leaves,amchur,16-01-2025,0.93
puri,15-11-2024,beef,apricots,tamarind,21-05-2025,3.03
samosa,07-07-2024,butter,fennel seeds,tamarind,09-12-2025,4.46
idli,22-07-2024,broccoli,turmeric powder,onion,29-01-2025,2.66
vada,26-01-2024,coriander,yogurt,black pepper,25-08-2025,0.21
jalebi,10-09-2024,turmeric,cloves,raisins,12-10-2025,4.69
butter chicken,06-09-2024,chili powder,banana,rice flour,03-04-2025,0.51
poha,03-03-2024,chicken,sesame seeds,lentils,16-02-2025,4.85
tandoori chicken,30-03-2024,milk,yogurt,cashews,11-04-2025,0.81
dosa,02-03-2024,rosemary,pineapple,sesame oil,22-06-2025,1.76
paratha,24-06-2024,soy sauce,asafoetida,cream,09-07-2025,3.19
paratha,09-04-2024,cinnamon,pomegranate,curry leaves,08-03-2025,2.03
vada,21-04-2024,brown sugar,basmati rice,lentils,25-11-2025,1.34
roti,30-11-2024,salt,lentils,cardamom,09-03-2025,2.6
pulao,21-10-2024,vinegar,tomato,gram flour,21-11-2025,0.61
butter chicken,27-04-2024,basil,turmeric powder,fennel seeds,25-08-2025,1.83
kachori,28-11-2024,cumin,turmeric powder,garlic,28-03-2025,3.22
palak paneer,26-07-2024,flour,cilantro,mint,24-01-2025,1.38
uttapam,08-04-2024,brown sugar,almonds,gram flour,03-08-2025,0.68
bhaji,09-06-2024,paprika,curry powder,tamarind,26-08-2025,3.13
dal makhani,26-04-2024,cinnamon,cilantro,cream,05-12-2025,1.08
rasgulla,25-12-2024,paprika,yogurt,chickpeas,19-06-2025,2.9
naan,17-07-2024,salt,onion,cream,15-09-2025,1.74
poha,27-08-2024,rosemary,ginger,poppy seeds,07-10-2025,0.34
thali,31-08-2024,ketchup,turmeric powder,yogurt,29-09-2025,1.77
kheema,26-10-2024,potatoes,dates,nutmeg,18-06-2024,4.12
dosa,23-02-2024,cheese,poppy seeds,clarified butter,05-06-2025,4.02
kulfi,17-12-2024,salt,cumin seeds,bay leaves,01-03-2025,4.22
palak paneer,07-10-2024,cayenne pepper,mustard seeds,yogurt,02-09-2025,0.5
kulfi,22-08-2024,paprika,onion,dates,06-02-2025,0.48
puri,30-07-2024,tomatoes,black pepper,ghee,30-11-2025,0.91
korma,03-01-2024,cinnamon,chickpeas,cloves,26-01-2025,4.9
dosa,03-10-2024,nutmeg,basmati rice,saffron,22-09-2025,3.24
korma,02-01-2024,brown sugar,pistachios,tomato,26-04-2025,0.95
thali,03-10-2024,onions,mango,cloves,21-09-2025,2.54
dal makhani,28-05-2024,broccoli,fennel seeds,jaggery,11-05-2025,2.28
poha,26-02-2024,brown sugar,mango,cream,09-04-2025,4.2
vada,20-03-2024,mayonnaise,red chili powder,sugar,10-01-2025,1.67
kathi roll,10-08-2024,vinegar,red chili powder,ginger,23-03-2024,2.01
poha,03-02-2024,cinnamon,saffron,yogurt,20-01-2025,2.93
gulab jamun,11-06-2024,rosemary,ghee,black gram,08-04-2025,3.75
korma,07-09-2024,cayenne pepper,red chili powder,mustard oil,23-01-2025,0.42
jalebi,21-05-2024,beef,ginger,dates,24-09-2025,4.1
poha,17-01-2024,coriander,fennel seeds,paneer,01-08-2025,4.2
biryani,27-01-2024,pasta,chickpeas,sesame oil,16-02-2025,3.39
biryani,02-12-2024,nutmeg,red chili powder,coconut oil,18-09-2025,4.93
biriyani,16-05-2024,pepper,curry powder,black salt,03-07-2025,1.65
momo,29-11-2024,cayenne pepper,almonds,ghee,09-03-2025,3.57
pav bhaji,06-08-2024,onions,green chili,gram flour,31-08-2025,3.99
paratha,28-07-2024,tomatoes,paprika,coconut oil,31-05-2025,4.41
dosa,08-10-2024,paprika,tomato,poppy seeds,09-12-2025,2.66
upma,09-03-2024,salt,garlic,nutmeg,04-03-2025,3.02
butter chicken,07-02-2024,mustard,fennel seeds,poppy seeds,01-05-2025,4.45
paratha,28-08-2024,mustard,green chili,nutmeg,12-10-2025,4.24
chicken curry,21-02-2024,mustard,sesame seeds,jaggery,17-10-2025,3.73
korma,28-09-2024,chicken,ghee,coconut,25-05-2025,0.59
kachori,05-06-2024,tomatoes,guava,clarified butter,07-04-2025,3.38
pulao,12-07-2024,turmeric,cilantro,tomato,29-06-2025,1.69
rabri,07-02-2024,honey,cumin seeds,ghee,21-10-2025,3.05
thali,07-05-2024,sugar,paprika,garam flour,27-09-2025,1.12
momo,10-03-2024,chicken,banana,chickpeas,10-01-2025,1.29
tandoori chicken,23-01-2024,paprika,guava,cloves,27-04-2025,1.53
pakora,18-06-2024,vanilla extract,saffron,tomato,29-10-2025,2.13
biryani,04-06-2024,rice,garlic,cream,15-12-2025,4.15
biryani,12-12-2024,pepper,jaggery,amchur,04-11-2025,4.74
naan,30-08-2024,butter,curry leaves,fenugreek,29-11-2025,0.19
dosa,26-12-2024,turmeric,red chili powder,sugar,16-08-2025,3.21
korma,07-11-2024,ginger,paprika,cloves,11-05-2025,2.14
bhaji,24-04-2024,salt,raisins,sugar,17-11-2025,3.74
chaat,02-10-2024,eggs,pomegranate,clarified butter,17-05-2025,4.31
biriyani,01-04-2024,lettuce,cardamom,milk,25-09-2025,2.84
naan,25-11-2024,rosemary,poppy seeds,green chili,15-11-2025,4.14
puri,05-11-2024,garlic,cashew nuts,mustard oil,06-07-2025,4.92
tandoori chicken,13-08-2024,sugar,asafoetida,cardamom,09-11-2025,0.82
masala dosa,16-10-2024,onions,coconut oil,raisins,05-01-2025,4.8
jalebi,08-12-2024,beef,poppy seeds,ginger,16-08-2025,3.65
kachori,20-07-2024,basil,tamarind,cilantro,24-05-2025,2.12
palak paneer,09-05-2024,cheese,raisins,amchur,16-08-2025,4.64
tandoori chicken,03-01-2024,milk,dates,semolina,18-06-2025,0.39
pulao,04-04-2024,thyme,mustard seeds,saffron,03-07-2025,4.34
naan,24-03-2024,rice,pomegranate,black pepper,28-05-2025,4.18
chicken curry,18-06-2024,soy sauce,raisins,asafoetida,04-02-2025,4.65
roti,09-07-2024,cheese,pomegranate,cumin,12-11-2024,0.44
dal makhani,10-04-2024,mayonnaise,curry powder,honey,28-08-2025,4.5
kulfi,12-08-2024,vinegar,almonds,olive oil,01-08-2025,1.13
pav bhaji,29-02-2024,tomatoes,cloves,onion,11-11-2025,1.72
gulab jamun,05-06-2024,cayenne pepper,cashews,black gram,19-11-2025,3.24
kathi roll,04-06-2024,brown sugar,fennel seeds,garam flour,16-12-2025,2.84
bhaji,22-08-2024,honey,pistachios,amchur,09-07-2025,3.63
korma,23-04-2024,flour,pistachios,asafoetida,20-06-2025,4.23
thali,05-02-2024,maple syrup,bay leaf,rice flour,28-10-2025,0.3
poha,26-05-2024,basil,lentils,tomato,29-11-2025,2.29
thali,13-06-2024,garlic,cumin seeds,clarified butter,04-05-2025,1.54
kheema,10-09-2024,lettuce,mint leaves,sugar,13-05-2025,0.03
upma,28-06-2024,garlic,mango,bay leaves,24-01-2025,2.65
dosa,22-06-2024,salt,coconut,tomato,30-07-2025,1.8
palak paneer,16-06-2024,thyme,black pepper,red chili powder,01-07-2025,0.95
bhaji,31-05-2024,cayenne pepper,red chili powder,paneer,11-11-2025,0.53
biriyani,27-09-2024,oregano,apricots,cumin,26-03-2025,4.05
puri,24-06-2024,brown sugar,fenugreek seeds,clarified butter,03-05-2025,0.49
biryani,11-06-2024,spinach,black pepper,coriander,16-01-2025,3.8
gulab jamun,02-01-2024,spinach,cinnamon,green gram,12-01-2025,4.41
vada,22-05-2024,tomatoes,pistachios,lentils,01-02-2025,2.87
kheer,17-08-2024,brown sugar,basmati rice,poppy seeds,02-10-2025,3.39
thali,03-01-2024,vanilla extract,fenugreek seeds,yogurt,31-05-2025,2.98
biriyani,16-03-2024,carrots,cashews,lentils,22-07-2025,1.43
momo,05-04-2024,ginger,mango,black pepper,10-03-2025,3.18
tandoori chicken,30-03-2024,milk,cashew nuts,coriander,21-02-2025,2.34
pav bhaji,09-09-2024,chicken,turmeric powder,lentils,30-07-2025,1.44
naan,26-10-2024,vinegar,pineapple,honey,11-09-2025,4.01
kheer,12-02-2024,pasta,mustard seeds,bay leaves,15-07-2025,3.18
jalebi,06-01-2024,oregano,poppy seeds,turmeric,20-01-2025,1.21
masala dosa,08-10-2024,basil,coconut,black pepper,26-06-2025,1.97
kheema,04-10-2024,pepper,curry leaves,tomato,14-09-2024,2.94
bhaji,20-08-2024,mayonnaise,ginger,sugar,06-12-2025,1.6
rabri,18-05-2024,broccoli,saffron,black salt,19-02-2025,0.97
jalebi,06-08-2024,vanilla extract,poppy seeds,garam masala,27-03-2025,1.21
biryani,11-05-2024,coriander,fennel seeds,cashews,23-01-2025,3.75
paneer tikka,05-01-2024,honey,mustard seeds,black salt,16-02-2025,4.83
dal makhani,27-10-2024,ginger,coconut milk,asafoetida,31-07-2025,3.88
paneer tikka,04-10-2024,flour,onion,cumin,27-08-2025,1.11
dal makhani,28-12-2024,eggs,figs,paneer,30-07-2025,3.5
pav bhaji,07-02-2024,paprika,tamarind,mustard seeds,30-05-2025,2.46
kulfi,13-02-2024,sugar,bay leaf,tamarind,30-05-2024,1.67
palak paneer,14-01-2024,nutmeg,turmeric powder,chickpeas,30-05-2025,4.23
lassi,10-10-2024,sugar,coconut,sesame oil,19-10-2025,4.81
kachori,30-01-2024,honey,cloves,bay leaves,17-02-2025,1.01
dal makhani,12-01-2024,flour,fennel seeds,green chili,26-08-2025,0.74
pulao,20-12-2024,spinach,almonds,turmeric,21-12-2025,0.77
chicken curry,16-02-2024,butter,figs,coconut oil,17-07-2025,3.08
chicken curry,16-11-2024,sugar,cloves,cashews,13-11-2025,0.55
rabri,11-02-2024,cayenne pepper,tamarind,garam flour,30-09-2025,0.28
chaat,12-04-2024,honey,black pepper,rice flour,23-09-2025,2.37
chaat,20-06-2024,rosemary,ginger,turmeric,24-10-2025,3.9
naan,03-10-2024,lemon juice,ginger,ginger,25-08-2025,2.64
samosa,14-04-2024,chicken,bay leaf,mint,03-08-2025,1.79
gulab jamun,13-10-2024,onions,coconut milk,gram flour,24-02-2025,1.13
papad,22-11-2024,ginger,poppy seeds,chickpeas,18-10-2025,1.98
vada,03-01-2024,cinnamon,garlic,curry leaves,10-02-2025,4.63
kachori,18-11-2024,onions,cardamom,cardamom,23-04-2025,1.55
vada,21-07-2024,onions,lentils,olive oil,19-05-2025,0.34
idli,21-08-2024,beef,fennel seeds,poppy seeds,31-03-2025,3.46
roti,05-11-2024,carrots,paprika,cardamom,12-04-2024,1.11
rasgulla,27-05-2024,milk,apricots,chickpeas,06-02-2025,4.13
biriyani,01-07-2024,mustard,jaggery,honey,11-11-2025,4.2
masala dosa,28-03-2024,milk,garlic,black pepper,13-11-2025,1.76
roti,26-08-2024,chicken,bay leaf,coconut oil,05-01-2025,1.87
jalebi,15-11-2024,tomatoes,coconut,red chili powder,16-08-2025,2.07
rasgulla,23-09-2024,broccoli,sesame seeds,jaggery,01-08-2025,3.7
pakora,09-12-2024,cayenne pepper,saffron,gram flour,19-05-2025,1.26
naan,22-07-2024,mustard,bay leaf,black gram,10-07-2025,4.54
roti,28-05-2024,olive oil,turmeric powder,olive oil,24-09-2025,0.57
dal makhani,04-03-2024,honey,ginger,yogurt,07-02-2025,1.39
pakora,28-12-2024,brown sugar,dates,olive oil,16-11-2025,4.95
paratha,06-06-2024,eggs,cashew nuts,paneer,11-01-2025,3.26
kathi roll,14-08-2024,milk,guava,bay leaves,04-05-2025,3.14
butter chicken,01-03-2024,beef,asafoetida,milk,05-04-2025,4.16
kulfi,30-06-2024,garlic,almonds,green gram,02-04-2025,2.2
roti,03-02-2024,ketchup,cashew nuts,nutmeg,22-03-2025,3.26
rabri,18-11-2024,honey,turmeric powder,olive oil,06-10-2025,3.36
kulfi,26-09-2024,nutmeg,turmeric powder,semolina,28-02-2025,1.65
thali,20-07-2024,flour,green chili,coconut oil,29-03-2025,2.23
paratha,16-07-2024,rosemary,fenugreek seeds,ghee,14-11-2025,4.54
idli,03-06-2024,butter,poppy seeds,green gram,14-05-2025,4.73
kheema,06-01-2024,potatoes,tomato,green gram,20-11-2025,4.31
vada,04-08-2024,cheese,onion,rice flour,07-10-2025,3.3
paratha,13-06-2024,lettuce,black pepper,red chili powder,24-12-2025,3.36
dal makhani,12-08-2024,onions,figs,fenugreek,02-03-2025,4.32
paneer tikka,30-12-2024,pepper,garlic,turmeric,26-09-2025,1.34
rabri,12-06-2024,flour,black pepper,mustard oil,14-10-2025,1.98
dal makhani,27-10-2024,pasta,asafoetida,jaggery,15-11-2025,4.55
paneer tikka,09-08-2024,rice,fenugreek seeds,cinnamon,20-12-2025,4.46
samosa,30-05-2024,curry powder,cardamom,tomato,06-05-2025,2.15
vada,03-03-2024,chili powder,mint leaves,semolina,07-03-2025,2.56
naan,17-10-2024,sugar,ginger,ginger,26-12-2025,3.6
tandoori chicken,30-10-2024,ketchup,cashews,green gram,11-11-2025,2.96
paneer tikka,31-07-2024,cayenne pepper,turmeric powder,garam masala,17-07-2025,3.76
momo,19-03-2024,olive oil,apricots,honey,02-09-2025,1.96
paneer tikka,02-09-2024,broccoli,coconut,honey,30-04-2025,4.57
pulao,25-06-2024,carrots,mango,curry leaves,29-03-2025,1.43
samosa,27-09-2024,carrots,cashews,poppy seeds,30-04-2025,2.78
paneer tikka,11-02-2024,curry powder,coconut oil,almonds,20-10-2025,0.74
gulab jamun,07-12-2024,vinegar,coconut milk,bay leaves,20-06-2025,2.58
paneer tikka,20-08-2024,soy sauce,figs,black gram,31-01-2025,3.43
dosa,21-05-2024,curry powder,cilantro,ghee,24-11-2025,1.54
pav bhaji,17-01-2024,mayonnaise,cardamom,ghee,28-02-2025,1.91
rasgulla,01-03-2024,paprika,red chili powder,black salt,24-08-2025,0.75
poha,22-06-2024,beef,cashews,mustard seeds,22-01-2025,3.97
poha,09-01-2024,lemon juice,almonds,clarified butter,22-08-2025,0.7
naan,16-04-2024,milk,poppy seeds,bay leaves,29-10-2025,3.23
roti,03-10-2024,soy sauce,lentils,ginger,15-07-2025,3.26
gulab jamun,15-12-2024,onions,guava,ghee,31-08-2025,4.85
biryani,11-02-2024,butter,cardamom,cumin,22-09-2025,3.23
vada,21-04-2024,paprika,mint leaves,jaggery,26-05-2025,3.8
rabri,10-01-2024,milk,red chili powder,fenugreek,23-12-2025,2.15
pulao,22-04-2024,pasta,basmati rice,cinnamon,16-09-2025,1.39
pakora,29-07-2024,milk,figs,red chili powder,05-01-2025,4.48
pakora,16-11-2024,potatoes,onion,pistachios,30-03-2025,4.5
thali,17-04-2024,sugar,pomegranate,garam masala,28-05-2025,2.05
pav bhaji,17-10-2024,coriander,dates,lentils,28-04-2025,0.47
momo,23-11-2024,honey,mint leaves,cardamom,27-06-2025,3.51
kachori,24-07-2024,mayonnaise,coriander powder,cilantro,09-04-2025,2.66
gulab jamun,29-05-2024,lime juice,coriander powder,cloves,28-07-2025,4.81
kulfi,15-12-2024,basil,coriander powder,coconut oil,26-07-2025,4.52
rasgulla,24-07-2024,rice,almonds,saffron,05-07-2025,3.38
roti,28-03-2024,rice,mustard seeds,black salt,04-11-2025,3.48
lassi,15-03-2024,maple syrup,yogurt,semolina,25-06-2025,2.27
kheema,14-01-2024,paprika,banana,ginger,04-08-2025,2.39
bhaji,19-01-2024,beef,mint leaves,mustard seeds,02-06-2025,0.42
poha,04-05-2024,spinach,black pepper,yogurt,10-05-2025,4.72
puri,13-10-2024,lemon juice,curry powder,clarified butter,17-02-2025,0.56
kulfi,12-06-2024,coriander,cashews,jaggery,21-07-2025,3.13
uttapam,11-06-2024,flour,poppy seeds,black gram,07-03-2025,1.02
paratha,16-12-2024,eggs,ginger,almonds,12-06-2025,0.14
thali,16-09-2024,flour,green chili,coconut oil,05-06-2025,2.46
korma,22-06-2024,ketchup,banana,saffron,24-01-2025,2.39
paratha,06-06-2024,turmeric,paprika,coconut oil,15-07-2025,1.95
uttapam,30-06-2024,lettuce,red chili powder,rice flour,05-12-2024,3
puri,24-02-2024,spinach,fenugreek seeds,garam masala,18-04-2025,1.55
